"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sat Feb 07 18:39:31 UTC 2026","passed","Sat Feb 07 18:39:31 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Sat Feb 07 18:39:28 UTC 2026","passed","Sat Feb 07 18:39:28 UTC 2026","Get entity","Files","",""
"","32","Create course","LMS service","Sat Feb 07 18:39:24 UTC 2026","passed","Sat Feb 07 18:39:24 UTC 2026","Create entity","Courses","",""
"","32","Update course","LMS service","Sat Feb 07 18:39:23 UTC 2026","passed","Sat Feb 07 18:39:23 UTC 2026","Update entity","Courses","",""
"","555","Create user","LMS service","Sat Feb 07 18:39:30 UTC 2026","passed","Sat Feb 07 18:39:31 UTC 2026","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Sat Feb 07 18:39:29 UTC 2026","passed","Sat Feb 07 18:39:29 UTC 2026","Validate entity","Files","",""
"","261","Create file","LMS service","Sat Feb 07 18:39:27 UTC 2026","passed","Sat Feb 07 18:39:27 UTC 2026","Create entity","Files","",""
"","22","Create exercise","LMS service","Sat Feb 07 18:39:24 UTC 2026","passed","Sat Feb 07 18:39:24 UTC 2026","Create entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Sat Feb 07 18:39:22 UTC 2026","passed","Sat Feb 07 18:39:22 UTC 2026","Login","Authentication","",""
"","21","Delete file","LMS service","Sat Feb 07 18:39:30 UTC 2026","passed","Sat Feb 07 18:39:30 UTC 2026","Delete entity","Files","",""
"","288","Update exercise","LMS service","Sat Feb 07 18:39:25 UTC 2026","passed","Sat Feb 07 18:39:25 UTC 2026","Update entity","Exercises","",""
"","16","Get exercise","LMS service","Sat Feb 07 18:39:25 UTC 2026","passed","Sat Feb 07 18:39:25 UTC 2026","Get entity","Exercises","",""
"","289","Create user","LMS service","Sat Feb 07 18:39:30 UTC 2026","passed","Sat Feb 07 18:39:30 UTC 2026","Create entity","Users","",""
"","16","Get exercises","LMS service","Sat Feb 07 18:39:27 UTC 2026","passed","Sat Feb 07 18:39:27 UTC 2026","Get entities","Exercises","",""
"","287","Delete exercise","LMS service","Sat Feb 07 18:39:26 UTC 2026","passed","Sat Feb 07 18:39:26 UTC 2026","Delete entity","Exercises","",""
"","29","Get courses","LMS service","Sat Feb 07 18:39:22 UTC 2026","passed","Sat Feb 07 18:39:23 UTC 2026","Get entities","Courses","",""
"","536","Create user","LMS service","Sat Feb 07 18:39:30 UTC 2026","passed","Sat Feb 07 18:39:30 UTC 2026","Create entity","Users","",""
"","259","Create file with empty filename","LMS service","Sat Feb 07 18:39:28 UTC 2026","passed","Sat Feb 07 18:39:28 UTC 2026","Validate entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Sat Feb 07 18:39:30 UTC 2026","passed","Sat Feb 07 18:39:30 UTC 2026","Validate entity","Files","",""
